,Party Name,Total Winning,Constituency,Winning Candidate,Total Votes,Margin,State
645,AJSU Party - AJSUP,1,Kodarma(5),ANNPURNA DEVI,791657,377014,Jharkhand
646,AJSU Party - AJSUP,1,Dhanbad(7),DULU MAHATO,789172,331583,Jharkhand
647,AJSU Party - AJSUP,1,Ranchi(8),SANJAY SETH,664732,120512,Jharkhand
648,AJSU Party - AJSUP,1,Jamshedpur(9),BIDYUT BARAN MAHATO,726174,259782,Jharkhand
649,AJSU Party - AJSUP,1,Palamau(13),VISHNU DAYAL RAM,770362,288807,Jharkhand
650,AJSU Party - AJSUP,1,Hazaribagh(14),MANISH JAISWAL,654613,276686,Jharkhand
651,AJSU Party - AJSUP,1,Rajmahal(1),VIJAY KUMAR HANSDAK,613371,178264,Jharkhand
652,AJSU Party - AJSUP,1,Dumka(2),NALIN SOREN,547370,22527,Jharkhand
653,AJSU Party - AJSUP,1,Singhbhum(10),JOBA MAJHI,520164,168402,Jharkhand
654,AJSU Party - AJSUP,1,Khunti(11),KALI CHARAN MUNDA,511647,149675,Jharkhand
655,AJSU Party - AJSUP,1,Lohardaga(12),SUKHDEO BHAGAT,483038,139138,Jharkhand
656,AJSU Party - AJSUP,1,Giridih(6),CHANDRA PRAKASH CHOUDHARY,451139,80880,Jharkhand
657,Bharatiya Janata Party - BJP,17,Belgaum(2),JAGADISH SHETTAR,762029,178437,Karnataka
658,Bharatiya Janata Party - BJP,17,Bagalkot(3),GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,671039,68399,Karnataka
659,Bharatiya Janata Party - BJP,17,Bijapur(4),RAMESH JIGAJINAGI,672781,77229,Karnataka
660,Bharatiya Janata Party - BJP,17,Haveri(10),BASAVARAJ BOMMAI,705538,43513,Karnataka
661,Bharatiya Janata Party - BJP,17,Dharwad(11),PRALHAD JOSHI,716231,97324,Karnataka
662,Bharatiya Janata Party - BJP,17,Uttara Kannada(12),VISHWESHWAR HEGDE KAGERI,782495,337428,Karnataka
663,Bharatiya Janata Party - BJP,17,Shimoga(14),B.Y.RAGHAVENDRA,778721,243715,Karnataka
664,Bharatiya Janata Party - BJP,17,Udupi Chikmagalur(15),KOTA SRINIVAS POOJARY,732234,259175,Karnataka
665,Bharatiya Janata Party - BJP,17,Dakshina Kannada(17),CAPTAIN BRIJESH CHOWTA,764132,149208,Karnataka
666,Bharatiya Janata Party - BJP,17,Chitradurga(18),GOVIND MAKTHAPPA KARJOL,684890,48121,Karnataka
667,Bharatiya Janata Party - BJP,17,Tumkur(19),V. SOMANNA,720946,175594,Karnataka
