,Party Name,Total Winning,Constituency,Winning Candidate,Total Votes,Margin,State
844,Revolutionary Socialist Party - RSP,1,Wayanad(4),RAHUL GANDHI,647445,364422,Kerala
845,Revolutionary Socialist Party - RSP,1,Kozhikode(5),M. K. RAGHAVAN,520421,146176,Kerala
846,Revolutionary Socialist Party - RSP,1,Palakkad(8),V K SREEKANDAN,421169,75283,Kerala
847,Revolutionary Socialist Party - RSP,1,Chalakudy(11),BENNY BEHANAN,394171,63754,Kerala
848,Revolutionary Socialist Party - RSP,1,Ernakulam(12),HIBI EDEN,482317,250385,Kerala
849,Revolutionary Socialist Party - RSP,1,Idukki(13),ADV. DEAN KURIAKOSE,432372,133727,Kerala
850,Revolutionary Socialist Party - RSP,1,Alappuzha(15),K. C VENUGOPAL,404560,63513,Kerala
851,Revolutionary Socialist Party - RSP,1,Mavelikkara (16),KODIKUNNIL SURESH,369516,10868,Kerala
852,Revolutionary Socialist Party - RSP,1,Pathanamthitta(17),ANTO ANTONY,367623,66119,Kerala
853,Revolutionary Socialist Party - RSP,1,Attingal(19),ADV ADOOR PRAKASH,328051,684,Kerala
854,Revolutionary Socialist Party - RSP,1,Thiruvananthapuram(20),SHASHI THAROOR,358155,16077,Kerala
855,Revolutionary Socialist Party - RSP,1,Malappuram(6),E.T.  MOHAMMED BASHEER,644006,300118,Kerala
